session_id,conversation_content,speaker,intent,start_sec,end_sec,emotion,conversation_turn,v_as_of_date
SESSION-COFFEE590,"What kind of milk would you like? Whole, oat, almond, or soy?",agent,milk_inquiry,16.9,20.8,informative,6,2025-10-02
SESSION-COFFEE590,"Oat milk, please.",customer,select_milk,21.1,23.8,neutral,7,2025-10-02
SESSION-COFFEE590,"How sweet would you like it? No sugar, regular, or extra sweet?",agent,sweetness_inquiry,24.2,28.4,friendly,8,2025-10-02
SESSION-COFFEE590,Regular sweetness.,customer,select_sweetness,28.8,31.6,neutral,9,2025-10-02
SESSION-COFFEE590,Would you like to add a flavor shot like vanilla or caramel?,agent,flavor_addon_inquiry,32.0,36.5,friendly,10,2025-10-02
SESSION-COFFEE590,"Yes, add vanilla.",customer,add_flavor,36.9,39.8,positive,11,2025-10-02
SESSION-COFFEE590,"Would you like anything to eat, such as a muffin or croissant?",agent,food_upsell,40.2,44.8,friendly,12,2025-10-02
SESSION-COFFEE590,No thanks.,customer,decline_offer,45.2,47.8,neutral,13,2025-10-02
SESSION-COFFEE590,Your total is $5.45. Would you like to confirm your order?,agent,present_total_and_confirm,48.2,53.1,neutral,14,2025-10-02
SESSION-COFFEE590,"Yes, confirm it.",customer,confirm_action,53.5,55.8,positive,15,2025-10-02
SESSION-COFFEE590,Your latte is confirmed and will be ready in about 5 minutes.,agent,confirm_order,56.2,61.4,positive,16,2025-10-02
SESSION-COFFEE901,"Hi, I’d like to order a coffee.",customer,order_intent,0.4,3.0,neutral,1,2025-09-22
SESSION-COFFEE901,Sure! What type of coffee are you in the mood for?,agent,drink_type_inquiry,3.3,6.1,friendly,2,2025-09-22
SESSION-COFFEE901,I’ll have a latte.,customer,select_drink,6.4,9.1,neutral,3,2025-09-22
SESSION-COFFEE901,"What size would you like? Small, medium, or large?",agent,size_inquiry,9.5,12.8,neutral,4,2025-09-22
SESSION-COFFEE901,Medium.,customer,select_size,13.1,15.4,neutral,5,2025-09-22
SESSION-COFFEE901,"What kind of milk would you like? We have whole, oat, almond, and soy.",agent,milk_preference_inquiry,15.8,19.6,informative,6,2025-09-22
SESSION-COFFEE901,"Oat milk, please.",customer,select_milk,20.0,22.7,neutral,7,2025-09-22
SESSION-COFFEE901,"How sweet would you like it? Unsweetened, lightly sweetened, or regular?",agent,sweetness_inquiry,23.1,26.8,neutral,8,2025-09-22
SESSION-COFFEE901,Lightly sweetened.,customer,select_sweetness,27.2,29.9,neutral,9,2025-09-22
SESSION-COFFEE901,Would you like it hot or iced?,agent,temperature_inquiry,30.3,34.1,neutral,10,2025-09-22
SESSION-COFFEE901,"Iced, please.",customer,select_temperature,34.5,37.0,neutral,11,2025-09-22
SESSION-COFFEE901,"Would you like to add any flavors, like vanilla or caramel?",agent,add_on_offer,37.4,41.8,friendly,12,2025-09-22
SESSION-COFFEE901,"Yes, add vanilla syrup.",customer,add_on_request,42.2,45.0,decisive,13,2025-09-22
SESSION-COFFEE901,Your total is $5.75. Would you like to confirm your order?,agent,present_total_and_confirm,45.4,49.9,neutral,14,2025-09-22
SESSION-COFFEE901,"Yes, confirm it.",customer,confirm_action,50.2,52.3,positive,15,2025-09-22
SESSION-COFFEE901,Your iced oat milk latte is confirmed and will be ready in 5 minutes.,agent,confirm_order,52.7,57.8,positive,16,2025-09-22
SESSION-DESSERT336,"Hi, I’d like to order a dessert.",customer,order_intent,0.5,2.5,neutral,1,2025-12-22
SESSION-DESSERT336,"Sure! Would you like a cake, cupcake, or cookie platter?",agent,dessert_type_inquiry,3.0,7.0,friendly,2,2025-12-22
SESSION-DESSERT336,I’ll go with a cake.,customer,select_dessert_type,7.5,9.5,positive,3,2025-12-22
SESSION-DESSERT336,"What size would you like? 6-inch, 8-inch, or 10-inch?",agent,dessert_size_inquiry,10.0,14.0,informative,4,2025-12-22
SESSION-DESSERT336,"8-inch, please.",customer,select_dessert_size,14.5,16.5,neutral,5,2025-12-22
SESSION-DESSERT336,"Which flavor would you like? Chocolate, Vanilla, Red Velvet, or Strawberry?",agent,dessert_flavor_inquiry,17.0,21.0,informative,6,2025-12-22
SESSION-DESSERT336,"Chocolate, please.",customer,select_dessert_flavor,21.5,23.5,positive,7,2025-12-22
SESSION-DESSERT336,"Would you like any toppings? Sprinkles, nuts, or chocolate chips?",agent,toppings_inquiry,24.0,28.0,informative,8,2025-12-22
SESSION-DESSERT336,"Yes, add chocolate chips.",customer,select_toppings,28.5,30.5,positive,9,2025-12-22
SESSION-DESSERT336,"Would you like to add a drink? Coffee, tea, or juice?",agent,drink_inquiry,31.0,35.0,informative,10,2025-12-22
SESSION-DESSERT336,"Add a juice, please.",customer,select_drink,35.5,37.5,positive,11,2025-12-22
SESSION-DESSERT336,Do you have any allergies or dietary restrictions?,agent,dietary_inquiry,38.0,42.0,informative,12,2025-12-22
SESSION-DESSERT336,No allergies.,customer,decline_dietary_option,42.5,44.0,neutral,13,2025-12-22
SESSION-DESSERT336,Your 8-inch Chocolate Cake with chocolate chips and a juice is confirmed. It will be ready for pickup in 20 minutes.,agent,confirm_order,44.5,50.5,positive,14,2025-12-22
SESSION-DESSERT336,Thank you so much!,customer,express_gratitude,51.0,52.5,happy,15,2025-12-22
SESSION-FOOD763,"Hi, I’m looking for something vegetarian.",customer,dietary_preference_inquiry,0.5,3.1,neutral,1,2025-09-18
SESSION-FOOD763,Absolutely! We have several vegetarian dishes available.,agent,acknowledge_request,3.4,6.2,friendly,2,2025-09-18
SESSION-FOOD763,"Popular options include the veggie wrap, margherita pizza, and lentil soup.",agent,recommend_menu_items,6.5,10.9,positive,3,2025-09-18
SESSION-FOOD763,Is the veggie wrap dairy-free?,customer,allergen_inquiry,11.2,14.8,curious,4,2025-09-18
SESSION-FOOD763,"It normally includes cheese, but we can make it completely dairy-free.",agent,provide_allergen_information,15.1,19.4,reassuring,5,2025-09-18
SESSION-FOOD763,Great. Can I add avocado to it?,customer,customization_request,19.8,22.6,interested,6,2025-09-18
SESSION-FOOD763,"Yes, avocado can be added for an extra dollar.",agent,inform_customization_pricing,22.9,26.1,neutral,7,2025-09-18
SESSION-FOOD763,That’s fine. How big is the portion?,customer,portion_size_inquiry,26.5,29.4,curious,8,2025-09-18
SESSION-FOOD763,It’s a full-sized wrap served with a side salad.,agent,provide_portion_information,29.8,33.9,informative,9,2025-09-18
SESSION-FOOD763,"Okay, I’ll take one veggie wrap with no cheese and extra avocado.",customer,place_order,34.2,37.1,decisive,10,2025-09-18
SESSION-FOOD763,Would you like a drink to go with that?,agent,upsell_offer,37.5,41.4,friendly,11,2025-09-18
SESSION-FOOD763,"Yes, a lemonade please.",customer,add_item_request,41.8,44.3,neutral,12,2025-09-18
SESSION-FOOD763,Your total comes to $13.50. Would you like to confirm the order?,agent,present_total_and_confirm,44.7,48.8,neutral,13,2025-09-18
SESSION-FOOD763,"Yes, please confirm it.",customer,confirm_action,49.1,51.2,positive,14,2025-09-18
SESSION-FOOD763,Your order of veggie wrap with no cheese and extra avocado and lemonade drink is confirmed and will be ready for pickup in 20 minutes.,agent,confirm_order,51.6,56.4,positive,15,2025-09-18
SESSION-HEALTHYBF901,"Hi, I want to order a healthy breakfast.",customer,order_intent,0.5,2.5,neutral,1,2025-12-22
SESSION-HEALTHYBF901,"Great! Would you like a smoothie, yogurt parfait, or oatmeal bowl today?",agent,meal_type_inquiry,3.0,8.0,friendly,2,2025-12-22
SESSION-HEALTHYBF901,"I’ll have a smoothie, please.",customer,select_meal_type,8.5,10.5,positive,3,2025-12-22
SESSION-HEALTHYBF901,"Which base would you like? Almond milk, soy milk, regular milk, or coconut water?",agent,smoothie_base_inquiry,11.0,16.0,informative,4,2025-12-22
SESSION-HEALTHYBF901,"Almond milk, please.",customer,select_smoothie_base,16.5,18.0,positive,5,2025-12-22
SESSION-HEALTHYBF901,"Which fruits would you like? Strawberry, banana, mango, blueberry, or mixed berries?",agent,smoothie_fruit_inquiry,18.5,23.5,informative,6,2025-12-22
SESSION-HEALTHYBF901,"Banana and mango, please.",customer,select_smoothie_fruits,24.0,26.0,positive,7,2025-12-22
SESSION-HEALTHYBF901,"Would you like to add protein powder, chia seeds, or flax seeds?",agent,smoothie_addon_inquiry,26.5,30.5,informative,8,2025-12-22
SESSION-HEALTHYBF901,"Yes, protein powder, please.",customer,select_smoothie_addon,31.0,32.5,positive,9,2025-12-22
SESSION-HEALTHYBF901,Do you want any toppings like granola or coconut flakes?,agent,toppings_inquiry,33.0,37.0,informative,10,2025-12-22
SESSION-HEALTHYBF901,"Granola, please.",customer,select_toppings,37.5,39.0,positive,11,2025-12-22
SESSION-HEALTHYBF901,Would you like a small side today? Yogurt cup or fruit salad?,agent,side_inquiry,39.5,44.5,informative,12,2025-12-22
SESSION-HEALTHYBF901,"Fruit salad, please.",customer,select_side,45.0,46.5,positive,13,2025-12-22
SESSION-HEALTHYBF901,"Do you want a drink? Green tea, herbal tea, smoothie refill, or water?",agent,drink_inquiry,47.0,53.0,informative,14,2025-12-22
SESSION-HEALTHYBF901,"Water, please.",customer,select_drink,53.5,55.0,neutral,15,2025-12-22
SESSION-HEALTHYBF901,"Your smoothie with almond milk, banana, mango, protein powder, granola topping, a side of fruit salad, and water is confirmed. Pickup in 15 minutes.",agent,confirm_order,55.5,62.0,positive,16,2025-12-22
SESSION-HEALTHYBF902,"Hello, I want a healthy breakfast today.",customer,order_intent,0.5,2.5,neutral,1,2025-12-22
SESSION-HEALTHYBF902,"Great! Would you like a smoothie, oatmeal bowl, or yogurt parfait?",agent,meal_type_inquiry,3.0,7.0,friendly,2,2025-12-22
SESSION-HEALTHYBF902,"I’ll take an oatmeal bowl, please.",customer,select_meal_type,7.5,9.0,positive,3,2025-12-22
SESSION-HEALTHYBF902,"Would you like rolled oats, steel-cut oats, or quinoa flakes as a base?",agent,oat_base_inquiry,9.5,14.0,informative,4,2025-12-22
SESSION-HEALTHYBF902,"Steel-cut oats, please.",customer,select_oat_base,14.5,16.0,neutral,5,2025-12-22
SESSION-HEALTHYBF902,"Which fruits would you like? Banana, blueberry, strawberry, or mixed berries?",agent,fruit_inquiry,16.5,20.0,informative,6,2025-12-22
SESSION-HEALTHYBF902,"Blueberries and strawberries, please.",customer,select_fruits,20.5,22.0,positive,7,2025-12-22
SESSION-HEALTHYBF902,"Would you like to add nuts or seeds? Almonds, walnuts, chia seeds, or flax seeds?",agent,add_on_inquiry,22.5,26.0,informative,8,2025-12-22
SESSION-HEALTHYBF902,"Yes, chia seeds, please.",customer,select_addon,26.5,28.0,positive,9,2025-12-22
SESSION-HEALTHYBF902,Do you want a side of yogurt or fresh fruit salad?,agent,side_inquiry,28.5,32.0,informative,10,2025-12-22
SESSION-HEALTHYBF902,"Fruit salad, please.",customer,select_side,32.5,34.0,positive,11,2025-12-22
SESSION-HEALTHYBF902,"Would you like a drink? Green tea, herbal tea, water, or smoothie refill?",agent,drink_inquiry,34.5,39.0,informative,12,2025-12-22
SESSION-HEALTHYBF902,"Green tea, please.",customer,select_drink,39.5,41.0,neutral,13,2025-12-22
SESSION-HEALTHYBF902,"Your oatmeal bowl with steel-cut oats, blueberries, strawberries, chia seeds, a side of fruit salad, and green tea is confirmed. Pickup in 15 minutes.",agent,confirm_order,41.5,48.0,positive,14,2025-12-22
SESSION-HEALTHYBF902,Thank you! That’s great.,customer,express_gratitude,48.5,50.0,happy,15,2025-12-22
SESSION-ICECREAM124,"Hi, I’d like to order some ice cream.",customer,order_intent,0.5,3.0,neutral,1,2025-09-28
SESSION-ICECREAM124,Sure! Would you like a cup or a cone?,agent,container_inquiry,3.4,6.2,friendly,2,2025-09-28
SESSION-ICECREAM124,"A cone, please.",customer,select_container,6.6,8.9,neutral,3,2025-09-28
SESSION-ICECREAM124,Would you like a sugar cone or a waffle cone?,agent,cone_type_inquiry,9.3,12.9,neutral,4,2025-09-28
SESSION-ICECREAM124,Waffle cone.,customer,select_cone_type,13.3,15.7,neutral,5,2025-09-28
SESSION-ICECREAM124,How many scoops would you like?,agent,scoop_quantity_inquiry,16.1,19.8,neutral,6,2025-09-28
SESSION-ICECREAM124,Two scoops.,customer,select_scoop_quantity,20.1,22.7,neutral,7,2025-09-28
SESSION-ICECREAM124,"What flavors would you like? Our popular ones are vanilla, chocolate, and strawberry.",agent,flavor_inquiry,23.1,28.0,friendly,8,2025-09-28
SESSION-ICECREAM124,Vanilla and chocolate.,customer,select_flavors,28.4,32.8,decisive,9,2025-09-28
SESSION-ICECREAM124,"Would you like to add any toppings, such as sprinkles or chocolate chips?",agent,topping_inquiry,33.2,37.4,friendly,10,2025-09-28
SESSION-ICECREAM124,"Yes, add sprinkles.",customer,add_topping,37.8,40.9,positive,11,2025-09-28
SESSION-ICECREAM124,Would you like whipped cream on top?,agent,upsell_offer,41.3,45.8,friendly,12,2025-09-28
SESSION-ICECREAM124,"No, that’s okay.",customer,decline_offer,46.2,48.6,neutral,13,2025-09-28
SESSION-ICECREAM124,Your total comes to $6.25. Would you like to confirm your order?,agent,present_total_and_confirm,49.0,53.6,neutral,14,2025-09-28
SESSION-ICECREAM124,"Yes, please confirm.",customer,confirm_action,54.0,56.1,positive,15,2025-09-28
